County Name,State FIPS,County Code,County FIPS,ZIP Code,File Date
Suffolk,36,103,36103,11752,7/25/2007
Suffolk,36,103,36103,11754,7/25/2007
Suffolk,36,103,36103,11755,7/25/2007
Suffolk,36,103,36103,11757,7/25/2007
Suffolk,36,103,36103,11758,7/25/2007
Suffolk,36,103,36103,11760,7/25/2007
Suffolk,36,103,36103,11763,7/25/2007
Suffolk,36,103,36103,11764,7/25/2007
Suffolk,36,103,36103,11766,7/25/2007
Suffolk,36,103,36103,11767,7/25/2007
Suffolk,36,103,36103,11768,7/25/2007
Suffolk,36,103,36103,11769,7/25/2007
Suffolk,36,103,36103,11770,7/25/2007
Suffolk,36,103,36103,11772,7/25/2007
Suffolk,36,103,36103,11775,7/25/2007
Suffolk,36,103,36103,11776,7/25/2007
Suffolk,36,103,36103,11777,7/25/2007
Suffolk,36,103,36103,11778,7/25/2007
Suffolk,36,103,36103,11779,7/25/2007
Suffolk,36,103,36103,11780,7/25/2007
Suffolk,36,103,36103,11782,7/25/2007
Suffolk,36,103,36103,11784,7/25/2007
Suffolk,36,103,36103,11786,7/25/2007
Suffolk,36,103,36103,11787,7/25/2007
Suffolk,36,103,36103,11788,7/25/2007
Suffolk,36,103,36103,11789,7/25/2007
Suffolk,36,103,36103,11790,7/25/2007
Suffolk,36,103,36103,11792,7/25/2007
Suffolk,36,103,36103,11794,7/25/2007
Suffolk,36,103,36103,11795,7/25/2007
Suffolk,36,103,36103,11796,7/25/2007
Suffolk,36,103,36103,11798,7/25/2007
Suffolk,36,103,36103,11901,7/25/2007
Suffolk,36,103,36103,11930,7/25/2007
Suffolk,36,103,36103,11931,7/25/2007
Suffolk,36,103,36103,11932,7/25/2007
Suffolk,36,103,36103,11933,7/25/2007
Suffolk,36,103,36103,11934,7/25/2007
Suffolk,36,103,36103,11935,7/25/2007
Suffolk,36,103,36103,11937,7/25/2007
Suffolk,36,103,36103,11939,7/25/2007
Suffolk,36,103,36103,11940,7/25/2007
Suffolk,36,103,36103,11941,7/25/2007
Suffolk,36,103,36103,11942,7/25/2007
Suffolk,36,103,36103,11944,7/25/2007
Suffolk,36,103,36103,11946,7/25/2007
