zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2015
11772,STANDARD,0,Patchogue,"Davis Park, E Patchogue, East Patchogue","Canaan Lake, N Patchogue, North Patchogue",NY,Suffolk County,America/New_York,631,NA,US,40.76,-73.01,40210
11773,UNIQUE,0,Syosset,,Publishers Clearing House,NY,Nassau County,America/New_York,516,NA,US,40.81,-73.5,0
11774,UNIQUE,1,Farmingdale,Fulfillment,,NY,Nassau County,America/New_York,516,NA,US,40.73,-73.44,0
11775,UNIQUE,0,Melville,,Don Jagoda Assc Inc,NY,Suffolk County,America/New_York,631,NA,US,40.78,-73.41,0
11776,STANDARD,0,Port Jefferson Station,Port Jeff Sta,"P J S, Pjs, Prt Jeff Sta, Prt Jefferson Station, Terryville",NY,Suffolk County,America/New_York,"516,631",NA,US,40.92,-73.06,22880
11777,STANDARD,0,Port Jefferson,"Port Jeff Sta, Port Jefferson Station, Prt Jefferson","Belle Terre, P J S, Pjs, Pt Jefferson Station",NY,Suffolk County,America/New_York,"631,516",NA,US,40.94,-73.05,8530
11778,STANDARD,0,Rocky Point,,,NY,Suffolk County,America/New_York,631,NA,US,40.92,-72.92,11730
11779,STANDARD,0,Ronkonkoma,"Lake Ronkonkoma, Lk Ronkonkoma",Lake Ronkonkoma Heights,NY,Suffolk County,America/New_York,"516,631",NA,US,40.8,-73.12,36440
11780,STANDARD,0,Saint James,,"Box Hill, Deer Wells, Flowerfield, Head Of The Harbor, Nissequogue, St James",NY,Suffolk County,America/New_York,631,NA,US,40.87,-73.15,14770
11782,STANDARD,0,Sayville,"Cherry Grove, Fire Is Pines, Fire Island Pines",,NY,Suffolk County,America/New_York,"631,516",NA,US,40.74,-73.08,15080
11783,STANDARD,0,Seaford,,,NY,Nassau County,America/New_York,"516,631",NA,US,40.66,-73.49,20990
11784,STANDARD,0,Selden,,Old Westfield,NY,Suffolk County,America/New_York,631,NA,US,40.86,-73.04,23450
11786,STANDARD,0,Shoreham,,,NY,Suffolk County,America/New_York,631,NA,US,40.95,-72.9,6340
11787,STANDARD,0,Smithtown,,Village Of The Branch,NY,Suffolk County,America/New_York,"516,631",NA,US,40.85,-73.21,33510
11788,STANDARD,0,Hauppauge,Smithtown,,NY,Suffolk County,America/New_York,"516,631",NA,US,40.82,-73.21,16510
11789,STANDARD,0,Sound Beach,,Scotts Beach,NY,Suffolk County,America/New_York,631,NA,US,40.96,-72.97,7150
11790,STANDARD,0,Stony Brook,,"Head Of The Harbor, Stonybrook",NY,Suffolk County,America/New_York,631,NA,US,40.9,-73.12,12860
11791,STANDARD,0,Syosset,,"Laurel Hollow, Muttontown, Oyster Bay Cove",NY,Nassau County,America/New_York,516,NA,US,40.81,-73.5,25660
11792,STANDARD,0,Wading River,,"Wildwood, Willwood",NY,Suffolk County,America/New_York,631,NA,US,40.94,-72.81,8340
11793,STANDARD,0,Wantagh,,"Briar Park, N Wantagh",NY,Nassau County,America/New_York,"516,631",NA,US,40.66,-73.51,32350
