race,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
BLACK OR AFRICAN-AMERICAN,2407,4565,6829,8252,9076,9861,10711,11350,11697,11956,12070,12011,11503,11214
WHITE,15841,29615,44239,52567,56767,61306,66987,70411,70925,69251,67214,64719,62721,60383
UNKNOWN,7400,11651,15428,15516,14618,13808,13658,14010,15032,16161,16410,15961,15012,14655
OTHER,4753,8585,12193,14273,15518,17059,19012,21143,23025,24293,25223,25706,25535,25328
ASIAN,1562,2869,4261,5281,5930,6739,7765,8903,9575,9919,10166,10038,9928,9589
AMERICAN INDIAN OR ALASKA NATIVE,160,319,471,578,637,644,705,724,781,821,849,897,860,825
NATIVE HAWAIIAN OR OTHER PACIFIC,183,338,469,497,522,481,497,481,499,504,514,534,534,457
