,zip,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0
1,544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6390,0.0,0.0,0.0,0.0,1.0,1.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,11001,0.19722222222222222,0.14638157894736842,0.13898305084745763,0.15641293013555788,0.17882836587872558,0.25445544554455446,0.2863636363636364,0.31239388794567063,0.36126932465419037,0.39757085020242916,0.4406354515050167,0.4925373134328358,0.4590017825311943,0.4351851851851852,0.44854368932038835,0.44706994328922495
4,11003,0.28055077452667815,0.19032921810699588,0.15127272727272728,0.1737179487179487,0.2332730560578662,0.3079526226734349,0.3462934162778642,0.420061099796334,0.48878048780487804,0.5061425061425061,0.5472328244274809,0.5721200387221684,0.5598135680994304,0.5620915032679739,0.5540540540540541,0.5724760293288212
5,11010,0.17391304347826086,0.13745019920318724,0.1076923076923077,0.12311557788944724,0.14840182648401826,0.1804932735426009,0.21504237288135594,0.2556987115956392,0.2653658536585366,0.32741617357001973,0.3431372549019608,0.32168550873586843,0.3347107438016529,0.32882414151925077,0.3295336787564767,0.3392116182572614
6,11020,0.26436781609195403,0.2158273381294964,0.15300546448087432,0.14027149321266968,0.17928286852589642,0.2668918918918919,0.2708333333333333,0.29859154929577464,0.3447368421052632,0.4173441734417344,0.4343163538873995,0.47076023391812866,0.4342857142857143,0.4126506024096386,0.45741324921135645,0.46153846153846156
7,11021,0.22807017543859648,0.15019762845849802,0.0947075208913649,0.1048951048951049,0.10821643286573146,0.14774774774774774,0.1760797342192691,0.22137404580152673,0.25206611570247933,0.29907773386034253,0.3286264441591784,0.34892541087231355,0.3379396984924623,0.34127979924717694,0.35826771653543305,0.3333333333333333
8,11022,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,1.0,0.75,0.6,0.3333333333333333,0.5,0.5,0.0,0.0,0.0,0.0
9,11023,0.1686746987951807,0.10135135135135136,0.08085106382978724,0.07868852459016394,0.08163265306122448,0.09216589861751152,0.13839285714285715,0.15274949083503056,0.19387755102040816,0.23387096774193547,0.24716981132075472,0.2564575645756458,0.2814159292035398,0.2391304347826087,0.23224568138195778,0.20517560073937152
10,11024,0.19117647058823528,0.13385826771653545,0.04672897196261682,0.05976095617529881,0.0847457627118644,0.1282798833819242,0.14555256064690028,0.16,0.15473441108545036,0.20422535211267606,0.2459016393442623,0.2283653846153846,0.2512315270935961,0.16243654822335024,0.18980169971671387,0.21727019498607242
11,11025,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,11026,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
13,11027,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.6,0.25,0.5,0.0,0.0,0.0,0.0
