,zip,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0
1,544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6390,0.0,0.0,0.0,0.0,1.0,1.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
3,11001,0.19722222222222222,0.14309210526315788,0.1347678369195923,0.15328467153284672,0.175564681724846,0.2487611496531219,0.2827272727272727,0.304421768707483,0.3534201954397394,0.39158576051779936,0.43430962343096235,0.48945518453427067,0.4584450402144772,0.432808155699722
4,11003,0.2793103448275862,0.18640576725025745,0.14963503649635038,0.16977491961414792,0.22853688029020555,0.30282485875706217,0.3404365904365904,0.4120654396728016,0.4784102060843965,0.5012370113805047,0.5423076923076923,0.5714285714285714,0.5585632483081728,0.5587752870420996
5,11010,0.1746031746031746,0.136,0.10238429172510519,0.12185929648241206,0.144,0.17376681614349776,0.20996818663838812,0.2487611496531219,0.26171875,0.32576505429417574,0.3425196850393701,0.3220164609053498,0.3329886246122027,0.32638164754953075
6,11020,0.26436781609195403,0.2158273381294964,0.14754098360655737,0.13574660633484162,0.1752988047808765,0.25675675675675674,0.2620481927710843,0.2909604519774011,0.3421750663129973,0.4087193460490463,0.42857142857142855,0.4631268436578171,0.4269340974212034,0.41389728096676737
7,11021,0.22807017543859648,0.14682539682539683,0.0947075208913649,0.10514018691588785,0.09839357429718876,0.14234234234234233,0.16805324459234608,0.21406727828746178,0.24204702627939143,0.28891820580474936,0.3230769230769231,0.34177215189873417,0.33921815889029006,0.33879093198992444
8,11022,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,1.0,0.75,0.6,0.3333333333333333,0.5,0.5,0.0,0.0
9,11023,0.17073170731707318,0.09523809523809523,0.08085106382978724,0.07213114754098361,0.07894736842105263,0.08120649651972157,0.1342281879194631,0.1443089430894309,0.18200408997955012,0.23076923076923078,0.24007561436672967,0.2564575645756458,0.27964601769911507,0.23508137432188064
10,11024,0.19117647058823528,0.13385826771653545,0.04225352112676056,0.04780876494023904,0.07796610169491526,0.11988304093567251,0.14555256064690028,0.1475,0.1527777777777778,0.20422535211267606,0.24355971896955503,0.22541966426858512,0.2512315270935961,0.1628498727735369
